name,region,city,postal_code,country,email,id
Monday Weekly Golf Villamartin,,CHARLOTTENBERG,67331,Sverige,,e55f9408-4f73-49ad-89f4-f927b0a34ba1
Huddinge Golfklubb,,HUDDINGE,14140,Sverige,huddingegolf@gmail.com,41134e6c-da18-46c7-a332-6a70b1a0a70b
Hills Golfklubb,,MÖLNDAL,43151,Sverige,info@hillsgolfclub.se,e6c09b49-06e6-4c5f-982f-2bc35a786e98
Golfers Dream,,SALTSJÖBADEN,13335,Sverige,info@navitess.se,d50bb20f-fd56-494b-9fad-f966d499a6c3
Idrottshögskolans Golfklubb,,STOCKHOLM,11486,Sverige,anna.tiden@gih.se,9fdfe1d3-7944-4606-bdcd-228e9564b1da
Golfens Gröna Kort,,,,Sverige,,6b361663-fc25-4423-afba-97ebd2c52a1d
GolfUppsala Allmänna Idrottsklubb,Uppland,UPPSALA,75591,Sverige,aik@golfuppsala.se,b67997c0-4e88-4b14-bc56-1397504ad1af
Bro Hof Golf förening,,,,Sverige,,bdb49159-23fe-4f2f-bca6-5957eaf0486e
Veckefjärdens Golf Club,,ÖRNSKÖLDSVIK,89130,Sverige,kontakt@veckefjarden.com,1690af60-d866-40de-824a-baca9f507ddc
Vimmerby Golfklubb,,VIMMERBY,59830,Sverige,info@vimmerbygk.se,a29e706c-c8e4-47db-bc5b-6479d747ea66
Viksjö Golfklubb,,JÄRFÄLLA,17545,Sverige,kansli@viksjogk.se,353506ba-6805-4fff-b2d9-f9093ac317d8
Vallgårdens Golfklubb Åkarp,,ÅKARP,23252,Sverige,kansli@vallgardensgk.se,921c47ae-5b32-4b2c-ad84-cc0e5d2c86bb
Särö Golf Club,Göteborg,SÄRÖ,42943,Sverige,kansli@sarogc.se,40ec0b6d-faec-4b82-a55b-572cd6860e65
Äppelgårdens Golfklubb,,BÅSTAD,26996,Sverige,info@appelgarden.se,435070db-b6e4-444f-a80c-9e08ab55aef5
Åsele Nya Golfklubb,,ÅSELE,91932,Sverige,info@aselegk.com,6b4e22b1-a4e6-4ba5-b9a6-58134dd20639
Myra Golfklubb,,KUNGSBACKA,43498,Sverige,info@myragolf.se,4aea3c4b-e5d8-456c-9b51-88bf0e96e918
Valley Golfklubb,,MÖLNDAL,43190,Sverige,info@valleygk.se,508000c7-5c4b-44f4-b02b-e0a8b6eaa725
Lökeberg Golfklubb,,HÅLTA,44295,Sverige,info@lokeberggk.se,5d20be36-dc57-446e-8d17-d7549f347647
Luleå Golfklubb,,LULEÅ,97596,Sverige,kansli@luleagolf.se,3aaaf47c-776c-49bb-a8af-71d7d3722882
Lannalodge Golfresort,,VINTROSA,71993,Sverige,info@lannalodge.se,e8f2b0f1-98e3-466c-8553-e5b2805456a9
Lidköpings Golfklubb,VÄSTERGÖTLAND,LIDKÖPING,53170,Sverige,info@lidkopingsgk.se,5a8d726e-6ec7-4cd4-8cb4-7bbb17608639
Lidingö Golfklubb,,LIDINGÖ,18121,Sverige,kansli@lidingogk.se,76890cbf-500e-4adf-ad26-6ae20e84e1fb
Lanna Golfklubb,,BREDARYD,33010,Sverige,Lannagolfklubb@gmail.com,968b0494-d055-4b27-87a3-5dd6f6ebdca7
Lundsbergs Golfklubb,,STORFORS,68891,Sverige,golf@lundsbergsgk.com,5aa9f9a3-3fe8-42be-a9c9-2219393b6261
Norråva Golfklubb,,VÄRMDÖ,13990,Sverige,kansli@norravagk.se,28b1b562-a081-4d22-9847-d129521b440f
Norra Backa Golf Fjällbacka ,,FJÄLLBACKA,45741,Sverige,golfkustens@gmail.com,4e8862f1-57f9-43b7-9bd0-6253bc0db137
Tureholms Nya Golfklubb,Norr- Västerbottens Golfförbund,ÖVERTORNEÅ,95732,Sverige,tureholms.ngk@gmail.se,98fba086-7e56-4e91-911e-1ee984483f50
Kumla Golfklubb,,KUMLA,69292,Sverige,info@kumlagk.se,d2fb2089-75ec-4341-b3c6-738d5ccc21d5
Sunne Golfklubb,Värmland,ROTTNEROS,68694,Sverige,info@sunnegk.se,54b0d532-ff18-46db-a747-b47c1f06baa1
Svegs Golfklubb,,SVEG,84294,Sverige,info@svegsgk.se,4c9ac030-9b0a-45ff-8259-8735301c4ecb
Strands Golfklubb,Södermanland,ESKILSTUNA,63505,Sverige,info@strandgolf.se,61dafea8-b3d3-45d0-87b5-05dcc1e355ae
Strömsholms Golfklubb,,KOLBÄCK,73493,Sverige,Kansli@stromsholmsgolf.se,c0ea81e3-ffdd-42d5-8cb2-ef6366bad712
Strömstad Golfklubb,,STRÖMSTAD,45290,Sverige,kansli@stdgk.se,cd576cb3-be86-4898-866f-5fc1f0456295
Sollentuna Golfklubb,STOCKHOLM,SOLLENTUNA,19277,Sverige,sollentunagk@sollentunagk.se,12461b50-bb94-400a-811d-8c9773339108
Scandinavian Golf Society,Petchaburi,ENSKEDE,12263,Sverige,sgshuahin@gmail.com,ffe9f4ce-a673-4836-8028-3f580ed561e8
Svensk Seniorgolf,,KUNGSBACKA,43497,Sverige,info@svenskseniorgolf.se,0d59ed9b-0e68-4f8f-97f6-30cfdbf38a1d
Skyrups Golfklubb,,TYRINGE,28295,Sverige,info@skyrupsgk.se,d22b1621-42f9-4f2e-8e38-bad886805d4a
S:t Ibbs Golfklubb,Skåne,S:T IBB - VEN,26195,Sverige,stibbgk@gmail.com,c9e0bdcd-ad47-4660-8ccd-dc6e9c957346
Orresta Golfklubb,,VÄSTERÅS,72596,Sverige,info@orrestagolf.se,458a18cd-684c-4f50-a727-763e42893fb2
Orust Golfklubb,,ELLÖS,47493,Sverige,info@orustgk.se,0243aa2f-deab-452c-b2c2-7453706fcb63
Porjus Golfklubb,Norrbotten,PORJUS,98260,Sverige,info@porjusgk.com,ef2bde3b-7cb4-40d2-846c-b37612fd516d
Smådalarö Golf,Stockholm,DALARÖ,13770,Sverige,info@smadalarogard.se,9a72a494-fa1f-4834-b228-1b2f87aac51f
Halmstad Golfarena,,HALMSTAD,30591,Sverige,reception@golfarenan.se,3245fe32-40d4-4232-b8d2-375fc792d034
Hills Golf & Sports Club,,MÖLNDAL,43151,Sverige,info@hillsgolfclub.se,17644bb7-1a66-4bc2-a6da-301420df457a
Granöbygdens Golfklubb,,GRANÖ,92295,Sverige,kansliet@granobygdensgk.se,92642dab-f4a3-4b38-b47e-8fa0e587b8ad
Ekerum Golfklubb,Småland,BORGHOLM,38792,Sverige,info@ekerum.com,f0af7a72-9dd3-4764-8837-4f569e17a04d
Falsterbo Golfklubb,,FALSTERBO,23940,Sverige,info@falsterbogk.se,cd5fda21-11ba-4863-8472-116a98f4f358
Bryngfjordens Golfklubb,Värmland,KARLSTAD,65350,Sverige,info@bryngfjorden.com,5df58ad8-cf7d-4c72-a73a-79de65b0c7ad
Botkyrka Golfklubb,,GRÖDINGE,14791,Sverige,info@botkyrkagk.se,9eb9f76d-bdbc-49c0-b8d6-b934a3b1c6b0
Malungs Golfklubb,,MALUNG,78291,Sverige,info@malungsgk.se,82d6467f-ca49-45ff-856d-c5341817bcd0
Flygstadens Golfklubb,,HALMSTAD,30241,Sverige,info@flygstadensgolfklubb.se,9b5fa5f4-ae25-4adc-bc2c-d967d6154e5b
Lydinge Golfklubb,Skåne,HYLLINGE,26575,Sverige,reception@lydinge.com,aa91f81a-8131-4be1-a725-fca0ee51c7dc
Ribbingsfors Golf & Kultur,,GULLSPÅNG,54792,Sverige,info@ribbingsforsgk.se,a5a9a5b7-9f73-4b68-b569-a6668954cb70
Mariestads Golfklubb,,MARIESTAD,54294,Sverige,info@mariestadsgk.se,8f545c9f-b419-4d8b-abe6-a1ae4af5a777
Lycke Golf & Country Club Marstrand,Västra Götaland,LYCKE,44275,Sverige,reception@lyckegc.se,f15e2101-6f31-4e23-a76d-9763a0b66c61
När Golfklubb,,STÅNGA,62348,Sverige,info@nargk.se,fbcc0ba2-0b3d-48e0-9aee-eae16e661e82
Dynekilens Golfklubb,Bohuslän-Dal,STRÖMSTAD,45292,Sverige,kansliet@dynegolf.se,5fbac161-9dcc-45a6-a8ee-7928d33557bf
Landskrona Golfklubb,,LANDSKRONA,26161,Sverige,info@landskronagk.se,801f3a7f-0a72-483f-b484-e707bfd875e7
Billeruds Golfklubb,,SEGMON,66040,Sverige,kansli@billerudsgk.se,1362b797-2b44-42ba-9b8c-e38f32706164
Karlskoga Golfklubb,Värmland,KARLSKOGA,69194,Sverige,info@karlskogagk.se,965761cd-91ae-48c7-8068-af9a00695584
Kristianstads Golfklubb ,,ÅHUS,29635,Sverige,receptionen@kristianstadsgk.com,23012d35-2ca1-47c7-8c59-1e5dcd1f3cfd
Hörlycke Golfklubb,Västergötland,TROLLHÄTTAN,46198,Sverige,kansli@horlyckegk.se,3c40f24b-1296-4d38-92a9-94fab2bd183f
Härnösands Golfklubb,Ångermanlnd,ÄLANDSBRO,87010,Sverige,info@harnosandgk.se,b553b130-e820-420d-9dc7-c247e7bda9cd
HOMA Holidays,,,,Sverige,info@homaholidays.es,00b36afe-86cb-4cae-8557-03f78fd18b44
Järvsöbadens Golfklubb,,JÄRVSÖ,82040,Sverige,info@jarvsogolf.se,0f2a320b-2303-4768-84a0-102339e808c7
Halmstad Golfklubb,,HALMSTAD,30273,Sverige,info@hgk.se,729d1b1a-56e4-4b3d-9e3d-aefda83acc40
Golf i Solen,,,,Sverige,,32cba1a4-bd60-4979-8371-7032320b5b2e
Grindslanten Golfklubb,,LIDINGÖ,18157,Sverige,info@grindslantengolf.se,32e993bc-98a5-4c0b-bea7-2f77df50eed9
Herrljunga Golfklubb,Västra Götaland,HERRLJUNGA,52492,Sverige,info@herrljungagk.se,92219bd0-c136-4044-b87e-9430b83143df
Gagnefs Golfklubb,,DJURÅS,78560,Sverige,kansli@gagnefsgk.com,2f0c3491-be08-4983-8c82-05e6c33ca643
Fogdö Golfklubb,Södermanland,STRÄNGNÄS,64592,Sverige,kansli@fogdogk.se,3e6673fe-0c75-4447-8793-3e80d93f0dd3
Danderyds Golfklubb,Stockholm,DANDERYD,18237,Sverige,info@danderydsgk.se,308c2661-553f-46d2-aed6-4d22b35b219b
Enköpings Golfklubb,,ENKÖPING,74946,Sverige,info@enkopinggolf.se,343bc5ba-f408-4036-883f-2b8ec922a6f9
Bro Hof Slott Golf Club,,BRO,19791,Sverige,reception@brohofslott.se,77c52af7-8897-4ca4-a859-9fb9bcdfdeec
Björnhults Golfklubb,,FALKENBERG,31194,Sverige,info@bjornhultsgk.se,7313ddd9-3d1e-40e6-9a61-1ee779a016b0
Arvika Golfklubb,,BRUNSKOG,67194,Sverige,info@arvikagk.com,5d26fe79-1b33-4c98-9938-959648afd542
Binga Golf,,LJUNGBYHOLM,38892,Sverige,info@bingagolf.se,7a4ed169-cc65-4761-a9b2-578e34e66184
Bodens Golfklubb,Norrbotten,BODEN,96151,Sverige,info@bodensgk.se,ce43217e-fa8c-481b-a42e-794b58cca823
Ågesta Golfklubb,STOCKHOLM,FARSTA,12352,Sverige,info@agestagk.se,76ba59de-31e5-4cf0-b58b-be229a611071
Årjängs Golfklubb,Värmland,ÅRJÄNG,67295,Sverige,info@arjangsgk.se,3e08b8fd-c7f6-41b8-85c2-cbd4cff7a97f
Sollefteå Golfklubb,,LÅNGSELE,88291,Sverige,kansli@sollefteagk.se,f0924889-e97e-4616-b005-7d77a7c67852
Wiredaholm Golf & Konferens,,ANEBY,57892,Sverige,info@wiredaholm.se,febb2a2a-9aa6-472f-a636-54080d7f0a3b
Sand Golf Club,,BANKERYD,56491,Sverige,info@sandgolfclub.se,3a7568ba-d39e-4349-b771-904fd519a46b
Saxnäs Golfklubb,,FÄRJESTADEN,38695,Sverige,info@saxnasgolf.se,8eb71b59-7b2c-4d75-9cdf-7eb8fc921acb
Österlens Golfklubb,Skåne,SIMRISHAMN,27295,Sverige,info@osterlensgk.com,f7d48313-efc9-4cd6-b28d-5b757400a93e
Värpinge Golfklubb,Skåne,LUND,22761,Sverige,info@varpinge.se,d25dc61b-0516-4057-8b91-18521d923d22
Skinnarebo Golf & Country Club,,SKINNAREBO,55593,Sverige,kansli@skinnarebo.com,e9e81ea6-bd90-4e6e-a529-b9c408ae6467
Ystad Golfklubb,Skåne,NYBROSTRAND,27171,Sverige,info@ystadgk.se,dde92211-ee7a-4f4a-b9d4-211a31c78a5b
Sankt Jörgen Park Golf ,,GÖTEBORG,41749,Sverige,golf@sanktjorgenpark.se,3438a355-6754-4571-aded-51a554f4cc11
Helsingborgs Golfklubb,,VIKEN,26361,Sverige,office@helsingborgsgk.com,277ada2d-c848-4021-9d97-3207ccb39ace
Brevikens Golfklubb,Västergötland,KARLSBORG,54691,Sverige,kansli@breviken.se,f9e73369-7825-4622-9664-085d874b0d22
Barsebäck Golf & Resort,,LÖDDEKÖPINGE,24655,Sverige,golf@barseback.com,5b64fcd6-8bdd-4f58-9dda-59fc6caec7ec
Ullna Golf & Country Club,Stockholm,ÅKERSBERGA,18494,Sverige,reception@ullnagolf.se,615ffc0b-8fce-4cd3-8d02-2a1c30340688
Ingarö Golf,,INAGRÖ,13464,Sverige,info@igk.se,d4b1239c-1636-4a6e-be16-d88250d65466
Gotska Golfklubb,Gotland,VISBY,62141,Sverige,info@gotskagk.se,e6cbd378-f6ef-480f-8a74-c39099842549
Forsgårdens Golfklubb,Halland,KUNGSBACKA,43447,Sverige,kansli@forsgarden.se,f6dfc227-53eb-49f7-8182-456d995efe92
Hede-Vemdalens Golfklubb,,HEDE,84631,Sverige,kansli@hede-vemdalensgk.se,40ec4c68-6bc8-42d9-86a6-f993fd65b94d
Hudiksvalls Golfklubb,,HUDIKSVALL,82491,Sverige,jon@hudiksvallsgk.se,49ec7286-842d-45eb-a48c-03812509c916
Arninge Golfklubb,,TÄBY,18769,Sverige,klubbchef@arningegk.se,80e90da7-26e6-443e-86fd-71f059b77187
Crownwood Golf,,,,Sverige,golf@crownwood.club,d11abe58-0d32-4f2c-8ac8-66eca37d6c63
Torsby Golfklubb,Värmland,TORSBY,68592,Sverige,info@torsbygolfklubb.se,aa609a07-26c7-4cdc-b49e-b3f91ed92e5e
Delsjö Golfklubb,,GÖTEBORG,41276,Sverige,info@degk.se,46e9603a-5e54-48d0-b73e-ca0936719284
Hofors Golfklubb,,HOFORS,81391,Sverige,info@hoforsgk.se,048c9d4d-cb65-4fb2-a529-cf4323bf0ce1
Ronneby Golfklubb,Blekinge,RONNEBY,37273,Sverige,info@ronnebygk.se,7e9959bc-0055-48ac-b827-c75927844e5f
Flommens Golfklubb,Skåne,FALSTERBO,23940,Sverige,reception@flommensgk.se,0fb95bb1-6c01-45fa-b89b-0e5d287f1848
Oskarshamns Golfklubb,Småland,OSKARSHAMN,57293,Sverige,info@oskarshamnsgk.com,49023a45-95f0-4a09-be28-8342c29d0d89
Forshaga Golfklubb,Värmland,DEJE,66991,Sverige,info@forshagadejegk.se,b9a5b540-1414-48f8-a2d1-8964778d1d21
Djursholms Golfklubb,,DJURSHOLM,18263,Sverige,info@dgk.nu,4248b9e6-94a0-42e9-9c96-23916ba49083
Naturligtvis Golf & Country Club,,GENARP,24799,Sverige,info@naturligtvisgcc.se,b6baadc1-93dc-4133-8668-745170f84ad3
Glasrikets Golfklubb Växjö,,VÄXJÖ,35592,Sverige,info@glasriketsgk.se,7bd30526-d1b1-40ad-950e-7fc73027d4ce
Ombergs Golf Resort,Östergötland,ÖDESHÖG,59993,Sverige,info@ombergsgolfresort.se,c39f1aa2-5168-4c18-b44d-d12b77e861d5
Gunnarns Golfklubb,Västerbotten,GUNNARN,95342,Sverige,gunnarngolf@gmail.com,5861fd66-7b14-4740-9dcc-89e6613d33a0
Östra Göinge Golfklubb,Skåne,KNISLINGE,28931,Sverige,04460060@telia.com,2600ea29-8186-4c05-a867-f45c81fcb167
Vinbergs Golfklubb,,FALKENBERG,31195,Sverige,info@vinbergsgolfklubb.se,758d7694-35b7-4d73-ad33-d8228513cd2a
Klövsjö-Vemdalens Golfklubb,,KLÖVSJÖ,84597,Sverige,kvgk@telia.com,faf90112-8444-4a3f-a0f1-fb7f3bc568ec
Nacka Golfklubb,,SALTSJÖ-BOO,13236,Sverige,info@nackagk.se,651b23e7-9ed5-432f-8ffa-45782468340e
Wasa Golfklubb,Södermanland,SÖDERTÄLJE,15152,Sverige,info@wasagolf.se,e4c35d52-1263-4dd1-861f-877e17067476
Knistad Golf & Country Club,,SKÖVDE,54192,Sverige,info@knistad.se,8ef887b6-b50e-4b62-8319-54db8dfb3c4c
Sönnertorps Golfklubb,Skåne,BÅSTAD,26993,Sverige,info@sonnertorpgolf.se,4b64531e-1453-47c3-81ae-de365807e7c8
Arvidsjaurs Golfklubb,,ARVIDSJAUR,93334,Sverige,info@arvidsjaurgolf.se,1dc4b9e1-ca2b-42b5-b78a-1558a6d9e215
Johannesberg Golfklubb,,RIMBO,76295,Sverige,golf@johannesbergsgolf.se,a9d34edb-c0a5-4b0a-8a32-cec9377578ae
Tobo Golfklubb,Småland,VIMMERBY,59891,Sverige,info@tobogk.se,d010f82d-8031-452f-b292-0bd1d7144e38
Gällivare-Malmbergets Golfklubb,,MALMBERGET,98321,Sverige,gmgk@GALLIVAREMALMBERGETSGOLF.onmicrosoft.com,536678ed-755a-4ca1-afc6-1963d9d84892
Loftahammars Golfklubb,Småland,LOFTAHAMMAR,59095,Sverige,info@loftahammarsgk.se,dcc6074a-b75f-4399-ac18-ec1ca12d2583
Kungl. Drottningholms Golfklubb,,DROTTNINGHOLM,17893,Sverige,info@kdrgk.se,bfd13b90-c4df-4660-afa9-0b953fcd623d
Göteborgs Golf Klubb,,HOVÅS,43650,Sverige,reception@goteborgsgk.org,f9ceaff2-4166-4857-9d24-93e96f55f065
Örnsköldsviks Golfklubb Puttom,,ARNÄSVALL,89195,Sverige,kansli@puttom.se,0b2062ae-e752-418b-bf67-af121d75de86
A6 Golfklubb,Småland,JÖNKÖPING,55305,Sverige,info@a6gk.se,081d1920-eb5c-4303-9940-420beacd2351
Wäsby Golfklubb,Stockholm,UPPLANDS VÄSBY,19492,Sverige,kansli@wasbygolf.se,bfd70135-982b-498e-b000-b2766a5b0f17
Olandsbygdens Golfklubb,Östhammars kommun,ALUNDA,74791,Sverige,golf@olandsbygdensgk.se,57078b98-8f8e-4f5c-b34b-abc28a008d77
Höganäs Golfklubb,,LERBERGET,26354,Sverige,kansli@hoganasgk.se,0a68a2e0-5ac6-4e16-a917-787287156b70
Arlandastad Golfklubb,Uppland,ROSERSBERG,19595,Sverige,info@arlandastadgolf.se,71336f7e-b950-4646-9dc9-2fdd402f208a
Sparren Golfklubb,,RIMBO,76293,Sverige,info@sparrengolf.se,b3375301-159a-4f88-8820-4532c7eeb90c
Skerike Golfklubb,,VÄSTERÅS,72593,Sverige,kansli@skerikegk.se,35f9ce62-4d8d-4f47-be24-98c535fe369c
Mackmyra Golf,,VALBO,81832,Sverige,info@mackmyragolf.se,c370bf9b-822c-4fd1-8fc1-eed6cb64446e
Avesta Golfklubb,,AVESTA,77461,Sverige,info@avestagk.se,ddd7635c-0544-4589-8e19-5afa8436c2cb
Albatross Golfklubb,,HISINGS BACKA,42250,Sverige,reception@albatrossgolf.se,f173cf07-11fe-4da2-9b11-8ff9f5911cd1
Strängnäs Golfklubb,SÖDERMANLAND,STRÄNGNÄS,64547,Sverige,info@strangnasgk.se,eef8e028-3603-4959-a66a-2f5289b4f9b1
Hässlegårdens Golfklubb,,HÄSSLEHOLM,28135,Sverige,info@hggk.se,13840737-732c-4ecb-8d4f-a93a68672850
Gripsholms Golfklubb,Södermanland,MARIEFRED,64731,Sverige,info@gripsholmsgk.se,b103184a-67a6-4095-bcdf-c42cb2aae41b
Huvudstadens Golfklubb,,VALLENTUNA,18692,Sverige,info@huvudstadensgolfklubb.se,38cfed92-8358-405c-b97e-242bef8b8da0
Hässelby Golfklubb,Stockholm,HÄSSELBY,16572,Sverige,hasselby@golfstar.se,646db102-140d-439a-966e-25027306653d
Stannum Golfklubb,,GRÅBO,44370,Sverige,info@stannumgolf.se,4ae0311d-9650-46b6-ab5c-80b289b30095
Waxholms Golfklubb,,VAXHOLM,18593,Sverige,info@waxholmsgolfklubb.se,c40d009a-c5b0-4ff0-b408-25859a9fdf85
